title,content,excerpt,status,type,expires,code,printable_url,destination_url,store,category,date,exclusive,author,store_name,store_slug,store_description,store_parent,store_url,store_aff_url,store_heading,store_is_featured,store_extra_info,store_image,category_name,category_slug,category_description,category_parent,category_icon,category_cat_image,,,,,
Oferta no lan�amento da colecao verao OQVestir,Lançamento Verão'17 OQVestir ,,,Oferta,31/10/16,,,http://v2.afilio.com.br/tracker.php?banid=2455206&campid=44518;1086&siteid=49553,Oqvestir,,,,,Oqvestir,,,,,,,,,,,,,,,,,,,,
Cupom Chico Rei para 20% de desconto no site!,,,,Cupom,31/12/16,CH20,,http://v2.afilio.com.br/tracker.php?banid=3409648&campid=44518;1944&siteid=49553,Chico Rei,,,,,Chico Rei,,,,,,,,,,,,,,,,,,,,
Use o cupom e ganhe desconto na E-Foxton!,,,,Cupom,31/12/16,FXTN16,,http://v2.afilio.com.br/tracker.php?banid=3519231&campid=44518;1905&siteid=49553,Foxton,,,,,Foxton,,,,,,,,,,,,,,,,,,,,
Ganhe R$ 100 OFF na Zattini em compras acima de R$ 200! em pe�as selecionadas,,,,Cupom,31/12/16,GANHE100,,http://v2.afilio.com.br/tracker.php?banid=3793672&campid=44518;1785&siteid=49553,Zattini,,,,,Zattini,,,,,,,,,,,,,,,,,,,,
Lançamento Paulo Coelho - A Espiã,,,,Oferta,31/10/16,,,http://v2.afilio.com.br/tracker.php?banid=3905092&campid=44518;1190&siteid=49553,Livraria Cultura,,,,,Livraria Cultura,,,,,,,,,,,,,,,,,,,,
Ganhe 13% OFF em todo site da Epoca Cosmeticos ,Exceto dermocosméticos,,,Cupom,19/1/17,AFILIODESC,,http://v2.afilio.com.br/tracker.php?banid=3956626&campid=44518;1102&siteid=49553,Época Cosméticos,,,,,Época Cosméticos,,,,,,,,,,,,,,,,,,,,
Cupom Centauro 10%OFF em Calçados *Nike,,,,Cupom,23/1/17,CASUAL10,,http://v2.afilio.com.br/tracker.php?banid=3976124&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,,,,,,
Cupom Centauro | 15% OFF em Calçados,,,,Cupom,23/1/17,15ACTIVE,,http://v2.afilio.com.br/tracker.php?banid=3976125&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,,,,,,
Até 50% OFF em calçados infantis na Centauro,,,,Oferta,23/1/17,,,http://v2.afilio.com.br/tracker.php?banid=3976127&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,,,,,,
Botas a partir de R$170 – Timberland,,,,Oferta,23/1/17,,,http://v2.afilio.com.br/tracker.php?banid=3976128&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,,,,,,
Ofertas imperdíveis no Carrefour! | Aquecedor Ceramico Mondial A07 110V com 10%OFF,,,,Oferta,26/11/16,,,http://v2.afilio.com.br/tracker.php?banid=3980547&campid=44518;2001&siteid=49553,Carrefour,,,,,Carrefour,,,,,,,,,,,,,,,,,,,,
Ofertas imperdíveis no Carrefour! | Aquecedor Ceramico Mondial A07 220V com 10%OFF,,,,Oferta,26/11/16,,,http://v2.afilio.com.br/tracker.php?banid=3980548&campid=44518;2001&siteid=49553,Carrefour,,,,,Carrefour,,,,,,,,,,,,,,,,,,,,
Ofertas imperdíveis no Carrefour! | Aquecedor A Oleo Mondial A06 110V com 10%OFF,,,,Oferta,26/11/16,,,http://v2.afilio.com.br/tracker.php?banid=3980549&campid=44518;2001&siteid=49553,Carrefour,,,,,Carrefour,,,,,,,,,,,,,,,,,,,,
Ofertas imperdíveis no Carrefour! | Aquecedor A Oleo Mondial A06 220V com 10%OFF,,,,Oferta,26/11/16,,,http://v2.afilio.com.br/tracker.php?banid=3980550&campid=44518;2001&siteid=49553,Carrefour,,,,,Carrefour,,,,,,,,,,,,,,,,,,,,
Ofertas imperdíveis no Carrefour! | Aquecedor Ar Mondial Termo A05 110V com 10%OFF,,,,Oferta,26/11/16,,,http://v2.afilio.com.br/tracker.php?banid=3980551&campid=44518;2001&siteid=49553,Carrefour,,,,,Carrefour,,,,,,,,,,,,,,,,,,,,
Cafeteira Oster EXCLUSIVA no Carrefour | Lançamento no Brasil,,,,Oferta,26/11/16,,,http://v2.afilio.com.br/tracker.php?banid=3980552&campid=44518;2001&siteid=49553,Carrefour,,,,,Carrefour,,,,,,,,,,,,,,,,,,,,
Cafeteira Oster EXCLUSIVA no Carrefour | Lançamento no Brasil,,,,Oferta,26/11/16,,,http://v2.afilio.com.br/tracker.php?banid=3980553&campid=44518;2001&siteid=49553,Carrefour,,,,,Carrefour,,,,,,,,,,,,,,,,,,,,
CUPOM: 10% OFF em todo o site da Onofre Eletro,,,,Cupom,31/10/16,agoraeletro10,,http://v2.afilio.com.br/tracker.php?banid=3980665&campid=44518;1222&siteid=49553,Onofre Eletro,,,,,Onofre Eletro,,,,,,,,,,,,,,,,,,,,
Cupom de desconto Centauro | 30% OFF em Óculos Oakley ,,,,Cupom,28/11/16,OCULOS30OFF,,http://v2.afilio.com.br/tracker.php?banid=3980993&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,,,,,,
Cupom de desconto Centauro  | 20% Off em Roupas *Exceto camisetas de time,,,,Cupom,28/11/16,GANHEI20,,http://v2.afilio.com.br/tracker.php?banid=3980995&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,,,,,,
Cupom de desconto Centauro  | R$50 OFF nas compras acima de R$200 nesta lista!,,,,Cupom,28/11/16,GANHEI50,,http://v2.afilio.com.br/tracker.php?banid=3980997&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,,,,,,
Cupom com 30% de desconto em Perfumaria,,,,Cupom,3/11/16,PERFUMARIA-30,,http://v2.afilio.com.br/tracker.php?banid=3981410&campid=44518;1329&siteid=49553,Quem disse Berenice? ,,,,,Quem disse Berenice? ,,,,,,,,,,,,,,,,,,,,
Tênis Casual com 25% off - Cupom: CASUAL25,,,,Cupom,31/10/16,CASUAL25,,http://v2.afilio.com.br/tracker.php?banid=3981490&campid=44518;577&siteid=49553,Netshoes,,,,,Netshoes,,,,,,,,,,,,,,,,,,,,
Ganhe 10% de desconto na primeira compra Bobstore,Aproveite! ,,,Cupom,31/12/16,BEMVINDOBOB,,http://v2.afilio.com.br/tracker.php?banid=3981688&campid=44518;1959&siteid=49553,Bobstore,,,,,Bobstore,,,,,,,,,,,,,,,,,,,,
Cupom Polishop - Desconto de 5% para compras acima de R$ 100.,,,,Cupom,31/10/16,POLIAFILIO5 ,,http://v2.afilio.com.br/tracker.php?banid=3981740&campid=44518;357&siteid=49553,Polishop,,,,,Polishop,,,,,,,,,,,,,,,,,,,,
CUPOM: 10% de desconto nos produtos da lista,,,,Cupom,31/10/16,Z4E8-AIGR-6Y21-KB3UW,,http://v2.afilio.com.br/tracker.php?banid=3981827&campid=44518;1222&siteid=49553,Onofre Eletro,,,,,Onofre Eletro,,,,,,,,,,,,,,,,,,,,
