title,content,excerpt,status,type,expires,code,printable_url,destination_url,store,category,date,exclusive,author,store_name,store_slug,store_description,store_parent,store_url,store_aff_url,store_heading,store_is_featured,store_extra_info,store_image,category_name,category_slug,category_description,category_parent,category_icon,category_cat_image
Promocode: CASUAL10 | 10%OFF em Calçados *Nike,,,,Cupom,1/23/2017,CASUAL10,,http://v2.afilio.com.br/tracker.php?banid=3976124&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
Promocode: 15ACTIVE | 15% OFF em Calçados,,,,Cupom,1/23/2017,15ACTIVE,,http://v2.afilio.com.br/tracker.php?banid=3976125&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
Até 50% OFF em calçados infantis na Centauro,,,,Oferta,1/23/2017,-,,http://v2.afilio.com.br/tracker.php?banid=3976127&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
Botas a partir de R$170 – Timberland,,,,Oferta,1/23/2017,-,,http://v2.afilio.com.br/tracker.php?banid=3976128&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
Promocode: OCULOS30OFF | 30% OFF em Óculos Oakley na Centauro!!,,,,Cupom,11/28/2016,OCULOS30OFF,,http://v2.afilio.com.br/tracker.php?banid=3980993&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
Promocode: GANHEI20 | 20% Off em Roupas *Exceto camisetas de time,,,,Cupom,11/28/2016,GANHEI20,,http://v2.afilio.com.br/tracker.php?banid=3980995&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
Promocode: GANHEI50 | R$50 OFF nas compras acima de R$200 nesta lista!,,,,Cupom,11/28/2016,GANHEI50,,http://v2.afilio.com.br/tracker.php?banid=3980997&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
 R$50 OFF nas compras acima de R$200 nesta lista!,,,,Cupom,12/31/2016,GANHEI50,,http://v2.afilio.com.br/tracker.php?banid=4148917&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
2 Cal,,,,Cupom,12/31/2016,CE2POR129,,http://v2.afilio.com.br/tracker.php?banid=4148918&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
3 camisetas por 99,,,,Cupom,12/31/2016,3POR99B,,http://v2.afilio.com.br/tracker.php?banid=4148919&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
Camisetas grandes marcas 2 por 99,,,,Cupom,12/31/2016,2CAM99,,http://v2.afilio.com.br/tracker.php?banid=4148920&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
2 Bon,,,,Cupom,12/31/2016,2BON129,,http://v2.afilio.com.br/tracker.php?banid=4148921&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
15% OFF em Kimonos,,,,Cupom,12/31/2016,15KIMONOS,,http://v2.afilio.com.br/tracker.php?banid=4148922&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
10% OFF em Monitores Cardiacos e Rel,,,,Cupom,12/31/2016,10MONITORES,,http://v2.afilio.com.br/tracker.php?banid=4148923&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
15% em Kangoo Jumps,,,,Cupom,12/31/2016,15JUMPKANGOO,,http://v2.afilio.com.br/tracker.php?banid=4148924&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
10% em Oculos ,,,,Cupom,12/31/2016,10OCULOS,,http://v2.afilio.com.br/tracker.php?banid=4148925&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
15% em Kimonos,,,,Cupom,12/31/2016,15KIMONOS,,http://v2.afilio.com.br/tracker.php?banid=4148926&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
10% Em Equipamentos desta lista,,,,Cupom,12/31/2016,EQUIP10OFF,,http://v2.afilio.com.br/tracker.php?banid=4148927&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
10% Off em Mochilas,,,,Cupom,12/31/2016,10MOCHILAS,,http://v2.afilio.com.br/tracker.php?banid=4148928&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
15% em Acess,,,,Cupom,12/31/2016,15ACESTREINO,,http://v2.afilio.com.br/tracker.php?banid=4148929&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
Compre e Ganhe,,,,Cupom,12/31/2016,GANHOU50,,http://v2.afilio.com.br/tracker.php?banid=4148930&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
Compre 1 produto – GANHE 10% OFF – Promocode: QUERO10  Compre 2 produtos – GANHE 15% OFF – Promocode: QUERO15   Compre 3 produtos – GANHE 20% OFF – Promocode: QUERO20,,,,Cupom,10/31/2016,QUERO20,,http://v2.afilio.com.br/tracker.php?banid=4264523&campid=44518;382&siteid=49553,Centauro,,,,,Centauro,,,,,,,,,,,,,,,
Kit Mini câmera Drone vermelho e Relógio Smart Branco = R$139,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264638&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,
Kit de Mochila e Relógio esporte DE: 184,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264639&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,
Kit Eletrônicos de Relógio executivo e fone de ouvido  DE: R$212,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264641&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,
Kit Esportivo Óculos de sol com fone integrado buetooth e relógio analógico masculino DE: R$228,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264642&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,
Kit Corrida: DE: R$ 143,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264643&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,
Kit Smart Executivo – Relógio  Fone bluetooth! DE R$ 390,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264644&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,
Kit Maquiagem – Pincéis + massageador   esponja! DE R$: 256,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264645&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,
Kit de Mini Drone branco e Relógio Smart Preto: DE R$ 390,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264646&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,
Kit Escova Alisadora vermelho: DE R$ 113,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264647&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,
Kit Cama Inflável,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264648&campid=44518;769&siteid=49553,Extra,,,,,Extra,,,,,,,,,,,,,,,
Lançamento Paulo Coelho - A Espiã,,,,Oferta,10/31/2016,sem,,http://v2.afilio.com.br/tracker.php?banid=3905092&campid=44518;1190&siteid=49553,Livraria Cultura,,,,,Livraria Cultura,,,,,,,,,,,,,,,
Frete grátis nas compras acima de R$ 199,,,,Oferta,11/1/2016,sem,,http://v2.afilio.com.br/tracker.php?banid=3981829&campid=44518;1739&siteid=49553,Lojas Colombo,,,,,Lojas Colombo,,,,,,,,,,,,,,,
Tênis Casual com 25% off - Cupom: CASUAL25,,,,Cupom,10/31/2016,CASUAL25,,http://v2.afilio.com.br/tracker.php?banid=3981490&campid=44518;577&siteid=49553,Netshoes,,,,,Netshoes,,,,,,,,,,,,,,,
Desconto de 20% em Probiótica - Código: PROB20 *Apenas na lista de Produtos,,,,Cupom,10/31/2016,PROB20,,http://v2.afilio.com.br/tracker.php?banid=4265452&campid=44518;577&siteid=49553,Netshoes,,,,,Netshoes,,,,,,,,,,,,,,,
Desconto de 5% em Bikes - Codigo: BIFITNESS *Apenas na lista de Produtos,,,,Cupom,10/31/2016,BIFITNESS,,http://v2.afilio.com.br/tracker.php?banid=4265454&campid=44518;577&siteid=49553,Netshoes,,,,,Netshoes,,,,,,,,,,,,,,,
Nós amamos bebês - ofertas com até 30% OFF,,,,Oferta,10/30/2016,sem,,http://v2.afilio.com.br/tracker.php?banid=4266072&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,
Especial Natal - decoração com até 30% OFF   frete grátis sul e sudeste,,,,Oferta,11/2/2016,sem,,http://v2.afilio.com.br/tracker.php?banid=4266074&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,
Móveis - Durma Bem - Colchões com até 50% de Desconto,,,,Oferta,11/4/2016,sem,,http://v2.afilio.com.br/tracker.php?banid=4266099&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,
Acabaram de Chegar - Lançamentos com 10% Off   FG SUL e SS nas compras acima de 499,,,,Oferta,11/4/2016,sem,,http://v2.afilio.com.br/tracker.php?banid=4266102&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,
Especial Escritório com 12% Off,,,,Oferta,11/4/2016,sem,,http://v2.afilio.com.br/tracker.php?banid=4266104&campid=44518;191&siteid=49553,Walmart,,,,,Walmart,,,,,,,,,,,,,,,
