id,title,startdate,enddate,url,discount,progid,rule,code,description,type
170979,Livraria Cultura,9/19/2016,10/31/2016,http://v2.afilio.com.br/tracker.php?banid=3905092&campid=44518;1190&siteid=49553,0,1190,Oferta,sem,Lançamento Paulo Coelho - A Espiã,n
171053,Centauro,9/23/2016,1/23/2017,http://v2.afilio.com.br/tracker.php?banid=3976124&campid=44518;382&siteid=49553,10,382,Cupom,CASUAL10,Promocode: CASUAL10 | 10%OFF em Calçados *Nike,
171054,Centauro,9/23/2016,1/23/2017,http://v2.afilio.com.br/tracker.php?banid=3976125&campid=44518;382&siteid=49553,15,382,Cupom,15ACTIVE,Promocode: 15ACTIVE | 15% OFF em Calçados,p
171055,Centauro,9/23/2016,1/23/2017,http://v2.afilio.com.br/tracker.php?banid=3976127&campid=44518;382&siteid=49553,50,382,Oferta,-,Até 50% OFF em calçados infantis na Centauro,p
171056,Centauro,9/23/2016,1/23/2017,http://v2.afilio.com.br/tracker.php?banid=3976128&campid=44518;382&siteid=49553,0,382,Oferta,-,Botas a partir de R$170 – Timberland,
171072,Centauro,9/28/2016,11/28/2016,http://v2.afilio.com.br/tracker.php?banid=3980993&campid=44518;382&siteid=49553,30,382,Cupom,OCULOS30OFF,Promocode: OCULOS30OFF | 30% OFF em Óculos Oakley na Centauro!!,p
171073,Centauro,9/28/2016,11/28/2016,http://v2.afilio.com.br/tracker.php?banid=3980995&campid=44518;382&siteid=49553,20,382,Cupom,GANHEI20,Promocode: GANHEI20 | 20% Off em Roupas *Exceto camisetas de time,p
171074,Centauro,9/28/2016,11/28/2016,http://v2.afilio.com.br/tracker.php?banid=3980997&campid=44518;382&siteid=49553,50,382,Cupom,GANHEI50,Promocode: GANHEI50 | R$50 OFF nas compras acima de R$200 nesta lista!,n
171097,Netshoes,10/3/2016,10/31/2016,http://v2.afilio.com.br/tracker.php?banid=3981490&campid=44518;577&siteid=49553,25,577,Cupom,CASUAL25,Tênis Casual com 25% off - Cupom: CASUAL25,p
171111,Lojas Colombo,10/5/2016,11/1/2016,http://v2.afilio.com.br/tracker.php?banid=3981829&campid=44518;1739&siteid=49553,0,1739,Oferta,sem,Frete grátis nas compras acima de R$ 199,
171116,Centauro,10/6/2016,12/31/2016,http://v2.afilio.com.br/tracker.php?banid=4148917&campid=44518;382&siteid=49553,50,382,Cupom,GANHEI50, R$50 OFF nas compras acima de R$200 nesta lista!,p
171117,Centauro,10/6/2016,12/31/2016,http://v2.afilio.com.br/tracker.php?banid=4148918&campid=44518;382&siteid=49553,50,382,Cupom,CE2POR129,2 Cal,p
171118,Centauro,10/6/2016,12/31/2016,http://v2.afilio.com.br/tracker.php?banid=4148919&campid=44518;382&siteid=49553,50,382,Cupom,3POR99B,3 camisetas por 99,
171119,Centauro,10/6/2016,12/31/2016,http://v2.afilio.com.br/tracker.php?banid=4148920&campid=44518;382&siteid=49553,50,382,Cupom,2CAM99,Camisetas grandes marcas 2 por 99,p
171120,Centauro,10/6/2016,12/31/2016,http://v2.afilio.com.br/tracker.php?banid=4148921&campid=44518;382&siteid=49553,50,382,Cupom,2BON129,2 Bon,p
171121,Centauro,10/6/2016,12/31/2016,http://v2.afilio.com.br/tracker.php?banid=4148922&campid=44518;382&siteid=49553,15,382,Cupom,15KIMONOS,15% OFF em Kimonos,p
171122,Centauro,10/6/2016,12/31/2016,http://v2.afilio.com.br/tracker.php?banid=4148923&campid=44518;382&siteid=49553,10,382,Cupom,10MONITORES,10% OFF em Monitores Cardiacos e Rel,p
171123,Centauro,10/6/2016,12/31/2016,http://v2.afilio.com.br/tracker.php?banid=4148924&campid=44518;382&siteid=49553,15,382,Cupom,15JUMPKANGOO,15% em Kangoo Jumps,p
171124,Centauro,10/6/2016,12/31/2016,http://v2.afilio.com.br/tracker.php?banid=4148925&campid=44518;382&siteid=49553,10,382,Cupom,10OCULOS,10% em Oculos ,p
171125,Centauro,10/6/2016,12/31/2016,http://v2.afilio.com.br/tracker.php?banid=4148926&campid=44518;382&siteid=49553,15,382,Cupom,15KIMONOS,15% em Kimonos,p
171126,Centauro,10/6/2016,12/31/2016,http://v2.afilio.com.br/tracker.php?banid=4148927&campid=44518;382&siteid=49553,10,382,Cupom,EQUIP10OFF,10% Em Equipamentos desta lista,p
171127,Centauro,10/6/2016,12/31/2016,http://v2.afilio.com.br/tracker.php?banid=4148928&campid=44518;382&siteid=49553,10,382,Cupom,10MOCHILAS,10% Off em Mochilas,p
171128,Centauro,10/6/2016,12/31/2016,http://v2.afilio.com.br/tracker.php?banid=4148929&campid=44518;382&siteid=49553,15,382,Cupom,15ACESTREINO,15% em Acess,p
171129,Centauro,10/6/2016,12/31/2016,http://v2.afilio.com.br/tracker.php?banid=4148930&campid=44518;382&siteid=49553,50,382,Cupom,GANHOU50,Compre e Ganhe,p
171157,Mega Mamute,10/10/2016,11/1/2016,http://v2.afilio.com.br/tracker.php?banid=4263866&campid=44518;1509&siteid=49553,4,1509,Cupom,PER4OFF,CUPOM: Periféricos de Informática com 4% OFF,p
171158,Mega Mamute,10/10/2016,11/1/2016,http://v2.afilio.com.br/tracker.php?banid=4263868&campid=44518;1509&siteid=49553,4,1509,Cupom,ACE4OFF,CUPOM: Acessórios de telefonia com 4% OFF,p
171159,m,10/10/2016,11/1/2016,http://v2.afilio.com.br/tracker.php?banid=4263870&campid=44518;1509&siteid=49553,20,1509,Cupom,20ACIMA450,CUPOM: R$ 20 OFF acima de 450 (somente no cartão,
171196,Extra,10/18/2016,10/31/2016,http://v2.afilio.com.br/tracker.php?banid=4264638&campid=44518;769&siteid=49553,0,769,Oferta,-,Kit Mini câmera Drone vermelho e Relógio Smart Branco = R$139,
