title,content,excerpt,status,type,expires,code,printable_url,destination_url,store,category,date,exclusive,author,store_name,store_slug,store_description,store_parent,store_url,store_aff_url,store_heading,store_is_featured,store_extra_info,store_image,category_name,category_slug,category_description,category_parent,category_icon,category_cat_image
"Cupom de desconto Centauro - 10OFF acima de R$ 150,00 - EXCETO PRODUTOS COM SELO ""NOVO"", BIKES E EQUIPAMENTOS. ",,,,Cupom,15/11/16,10ACIMA150 ,,http://ad.zanox.com/ppc/?40211352C1520507604T,,,,,,Centauro,,,,,,,,,,,,,,,
"Cupom de desconto Centauro - 15OFF acima R$ 250 - EXCETO PRODUTOS COM SELO ""NOVO"", BIKES E EQUIPAMENTOS. ",,,,Cupom,15/11/16,15ACIMA250 ,,http://ad.zanox.com/ppc/?40211414C463282050T,,,,,,Centauro,,,,,,,,,,,,,,,
"Cupom de desconto Centauro - 20OFF acima R$ 350 -  EXCETO PRODUTOS COM SELO ""NOVO"", BIKES E EQUIPAMENTOS. ",,,,Cupom,15/11/16,20ACIMA350 ,,http://ad.zanox.com/ppc/?40211432C11968264T,,,,,,Centauro,,,,,,,,,,,,,,,
"Cupom de desconto Centauro - 20%OFF em Cal�ados Nike, Adidas, Mizuno e Asics. ",,,,Cupom,15/11/16,CALC20OFF ,,http://ad.zanox.com/ppc/?40211458C449953658T,,,,,,Centauro,,,,,,,,,,,,,,,
Cupom de desconto Centauro -  10% OFF em todo o site. Exce��o: produtos com o selo novo. ,,,,Cupom,15/11/16,10CENTAURO ,,http://ad.zanox.com/ppc/?40211460C1200167276T,,,,,,Centauro,,,,,,,,,,,,,,,
Cupom de desconto Lojas Renner - 10%OFF em lista de produtos selecionados!,,,,Cupom,15/11/16,TRENDS10,,https://ad.zanox.com/ppc/?40211490C13315996&ULP=[[http://www.lojasrenner.com.br/lista/apostas?utm_source=Zanox&utm_medium=afiliados&utm_content=Zanox-apostas&utm_campaign=retargeting-Zanox-nov-2016&utm_source=zanox&utm_medium=afiliados&utm_content=zanox-deeplink&utm_campaign=zanox-deeplink]],,,,,,Lojas Renner,,,,,,,,,,,,,,,
Cupom Chico Rei - Ganhe 20% de desconto no site!,,,,Cupom,31/12/16,CH20,,http://v2.afilio.com.br/tracker.php?banid=3409648&campid=44518;1944&siteid=49553,,,,,,Chico Rei,,,,,,,,,,,,,,,
Ganhe desconto na E-Foxton!,,,,Cupom,31/12/16,FXTN16,,http://v2.afilio.com.br/tracker.php?banid=3519231&campid=44518;1905&siteid=49553,,,,,,Foxton,,,,,,,,,,,,,,,
Ganhe R$ 100 OFF em compras acima de R$ 200!,,,,Cupom,31/12/16,GANHE100,,http://v2.afilio.com.br/tracker.php?banid=3793672&campid=44518;1785&siteid=49553,,,,,,Zattini,,,,,,,,,,,,,,,
CUPOM Epoca 13% OFF - Exceto dermocosméticos,,,,Cupom,19/01/17,AFILIODESC,,http://v2.afilio.com.br/tracker.php?banid=3956626&campid=44518;1102&siteid=49553,,,,,,Época Cosméticos,,,,,,,,,,,,,,,
Cupom Centauro  10%OFF em Calçados *Nike,,,,Cupom,23/01/17,CASUAL10,,http://v2.afilio.com.br/tracker.php?banid=3976124&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
Promocode: 15ACTIVE | 15% OFF em Calçados,,,,Cupom,23/01/17,15ACTIVE,,http://v2.afilio.com.br/tracker.php?banid=3976125&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
Até 50% OFF em calçados infantis na Centauro,,,,Oferta,23/01/17,,,http://v2.afilio.com.br/tracker.php?banid=3976127&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
Botas a partir de R$170 – Timberland,,,,Oferta,23/01/17,,,http://v2.afilio.com.br/tracker.php?banid=3976128&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
Ofertas imperdíveis no Carrefour! | Aquecedor Ceramico Mondial A07 110V com 10%OFF,,,,Oferta,26/11/16,,,http://v2.afilio.com.br/tracker.php?banid=3980547&campid=44518;2001&siteid=49553,,,,,,Carrefour,,,,,,,,,,,,,,,
Ofertas imperdíveis no Carrefour! | Aquecedor Ceramico Mondial A07 220V com 10%OFF,,,,Oferta,26/11/16,,,http://v2.afilio.com.br/tracker.php?banid=3980548&campid=44518;2001&siteid=49553,,,,,,Carrefour,,,,,,,,,,,,,,,
Ofertas imperdíveis no Carrefour! | Aquecedor A Oleo Mondial A06 110V com 10%OFF,,,,Oferta,26/11/16,,,http://v2.afilio.com.br/tracker.php?banid=3980549&campid=44518;2001&siteid=49553,,,,,,Carrefour,,,,,,,,,,,,,,,
Ofertas imperdíveis no Carrefour! | Aquecedor A Oleo Mondial A06 220V com 10%OFF,,,,Oferta,26/11/16,,,http://v2.afilio.com.br/tracker.php?banid=3980550&campid=44518;2001&siteid=49553,,,,,,Carrefour,,,,,,,,,,,,,,,
Ofertas imperdíveis no Carrefour! | Aquecedor Ar Mondial Termo A05 110V com 10%OFF,,,,Oferta,26/11/16,,,http://v2.afilio.com.br/tracker.php?banid=3980551&campid=44518;2001&siteid=49553,,,,,,Carrefour,,,,,,,,,,,,,,,
Cafeteira Oster EXCLUSIVA no Carrefour | Lançamento no Brasil,,,,Oferta,26/11/16,,,http://v2.afilio.com.br/tracker.php?banid=3980552&campid=44518;2001&siteid=49553,,,,,,Carrefour,,,,,,,,,,,,,,,
Cafeteira Oster EXCLUSIVA no Carrefour | Lançamento no Brasil,,,,Oferta,26/11/16,,,http://v2.afilio.com.br/tracker.php?banid=3980553&campid=44518;2001&siteid=49553,,,,,,Carrefour,,,,,,,,,,,,,,,
Promocode: OCULOS30OFF | 30% OFF em Óculos Oakley na Centauro!!,,,,Cupom,28/11/16,OCULOS30OFF,,http://v2.afilio.com.br/tracker.php?banid=3980993&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
Promocode: GANHEI20 | 20% Off em Roupas *Exceto camisetas de time,,,,Cupom,28/11/16,GANHEI20,,http://v2.afilio.com.br/tracker.php?banid=3980995&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
Promocode: GANHEI50 | R$50 OFF nas compras acima de R$200 nesta lista!,,,,Cupom,28/11/16,GANHEI50,,http://v2.afilio.com.br/tracker.php?banid=3980997&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
Ganhe 10% de desconto na primeira compra! Aproveite! ,,,,Cupom,31/12/16,BEMVINDOBOB,,http://v2.afilio.com.br/tracker.php?banid=3981688&campid=44518;1959&siteid=49553,,,,,,Bobstore,,,,,,,,,,,,,,,
 R$50 OFF nas compras acima de R$200 nesta lista!,,,,Cupom,31/12/16,GANHEI50,,http://v2.afilio.com.br/tracker.php?banid=4148917&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
2 Cal,,,,Cupom,31/12/16,CE2POR129,,http://v2.afilio.com.br/tracker.php?banid=4148918&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
