title;content;excerpt;status;type;expires;discount_value;code;printable_url;destination_url;store;category;date;exclusive;author;store_name;store_slug;store_description;store_parent;store_url;store_aff_url;store_heading;store_is_featured;store_extra_info;store_image
20% de desconto em produtos vendidos pela Reserva na Amazon;;;publish;code;16/04/2020 23:59:00;20;RESERVA20;https://www.amazon.com.br/;https://redir.lomadee.com/v2/984666a969;Amazon;Moda e Acessórios;;;;;;;;;;;;;
10% off em produtos Lola Cosmetics na Amazon;;;publish;code;12/04/2020 23:59:00;10;LOLETE10;https://www.amazon.com.br/;https://redir.lomadee.com/v2/98033d1160;Amazon;Saúde e Beleza;;;;;;;;;;;;;
15% de desconto + frete grátis em todo site (exceto sale) na Aramis;;;publish;code;12/04/2020 23:59:00;15;ficaemcasa;https://www.aramis.com.br/;https://redir.lomadee.com/v2/989f6a5ef7;Aramis;Moda e Acessórios;;;;;;;;;;;;;
Para primeira compra no site;;;publish;code;01/01/2021 23:59:00;10;QUEROCABELAO;https://www.aureanutrition.com.br/;https://redir.lomadee.com/v2/98fe89091e;Aurea Beauty;Saúde e Beleza;;;;;;;;;;;;;
20 reais e frete grátis - FICAEMCASA;;;publish;code;31/05/2020 23:59:00;20;FICAEMCASA;https://www.aureanutrition.com.br/;https://redir.lomadee.com/v2/98b1f7d24e;Aurea Beauty;Saúde e Beleza;;;;;;;;;;;;;
5% de desconto em todo site;;;publish;code;30/06/2020 23:59:00;5;BAITASHOP5;https://www.baitashop.com.br/;https://redir.lomadee.com/v2/98462ce105;Baitashop;Casa e Decoração;;;;;;;;;;;;;
5% de desconto em Tabua para Churrasco Time de Futebol + Nome Personalizado na Tabua;;;publish;code;30/06/2020 23:59:00;5;TABUATIME;https://www.baitashop.com.br/;https://redir.lomadee.com/v2/983058976e;Baitashop;Casa e Decoração;;;;;;;;;;;;;
5% de desconto em Utensílios de Cozinha;;;publish;code;30/06/2020 23:59:00;5;COZINHA5;https://www.baitashop.com.br/;https://redir.lomadee.com/v2/98361b3656;Baitashop;Casa e Decoração;;;;;;;;;;;;;
5% de desconto em Panelas Tramontina + Jogo de Talheres Tramontina;;;publish;code;30/06/2020 23:59:00;5;TRAMONTINA;https://www.baitashop.com.br/;https://redir.lomadee.com/v2/98806ed22a;Baitashop;Casa e Decoração;;;;;;;;;;;;;
7%OFF site-wide code;;;publish;code;01/12/2020 12:59:00;7;aff7of;https://www.banggood.com/;https://redir.lomadee.com/v2/984af4752c;Banggood;Eletrônicos;;;;;;;;;;;;;
R$ 10 para comprar cuecas novas na bunker;;;publish;code;30/12/2020 23:59:00;10;primeiracompra;https://usebunker.com.br/;https://redir.lomadee.com/v2/98bbd6c87d;Bunker;Moda e Acessórios;;;;;;;;;;;;;
15% OFF para você se proteger do frio com a Centauro <3;;;publish;code;31/12/2020 23:59:00;15;INVERNO15;https://www.centauro.com.br/;https://redir.lomadee.com/v2/9836b40a6e;Centauro;Esportes e Lazer;;;;;;;;;;;;;
30% OFF em produtos selecionados de natação na Centauro;;;publish;code;15/04/2020 23:59:00;30;NATACAO30;https://www.centauro.com.br/;https://redir.lomadee.com/v2/985b95c569;Centauro;Esportes e Lazer;;;;;;;;;;;;;
20% OFF em lista selecionada de patins na Centauro;;;publish;code;15/04/2020 23:59:00;20;PATINS20OFF;https://www.centauro.com.br/;https://redir.lomadee.com/v2/98e8fb8478;Centauro;Esportes e Lazer;;;;;;;;;;;;;
10% de desconto em toda loja.;;;publish;code;31/07/2020 23:59:00;10;color10;https://www.colorbrinque.com.br/;https://redir.lomadee.com/v2/986eeacdc8;Color Brinque;Brinquedos;;;;;;;;;;;;;
FRETE GRÁTIS na Comix acima de R$99,90 (sudeste);;;publish;sale;30/04/2020 23:59:00;20;URL CUPONADA;https://www.comix.com.br/;https://redir.lomadee.com/v2/98dce1bd5d;Comix;Livros;;;;;;;;;;;;;
FRETE GRÁTIS na Comix acima de R$99,90 (sudeste);;;publish;sale;30/04/2020 23:59:00;20;URL CUPONADA;https://www.comix.com.br/;https://redir.lomadee.com/v2/98d4bff64d;Comix;CD DVD e Blu-Ray;;;;;;;;;;;;;
R$ 125 OFF na Electrolux (válido somente para produtos com selo por tempo indetermidado);;;publish;code;30/04/2020 23:59:00;125;OFF125;https://loja.electrolux.com.br/;https://redir.lomadee.com/v2/98308bd9eb;Electrolux;Eletrodomésticos;;;;;;;;;;;;;
R$ 50 OFF na Electrolux (válido somente para produtos com selo por tempo indetermidado);;;publish;code;30/04/2020 23:59:00;50;OFF50;https://loja.electrolux.com.br/;https://redir.lomadee.com/v2/98308bd9eb;Electrolux;Eletrodomésticos;;;;;;;;;;;;;
R$ 25 OFF na Electrolux (válido somente para produtos com selo por tempo indetermidado);;;publish;code;30/04/2020 23:59:00;25;OFF25;https://loja.electrolux.com.br/;https://redir.lomadee.com/v2/98308bd9eb;Electrolux;Eletrodomésticos;;;;;;;;;;;;;
30% de desconto nas FLORES no FOUND IT!;;;publish;code;30/09/2029 23:59:00;30;FLORES30;https://www.foundit.com.br/;https://redir.lomadee.com/v2/987ab70277;Found IT;Casa e Decoração;;;;;;;;;;;;;
FRETE GRÁTIS em compras acima de R$ 179,00 no FOUND IT!;;;publish;sale;30/09/2029 23:59:00;100;URL CUPONADA;https://www.foundit.com.br/;https://redir.lomadee.com/v2/981caba416;Found IT;Casa e Decoração;;;;;;;;;;;;;
18% de desconto na PRIMEIRA COMPRA no FOUND IT!;;;publish;code;30/09/2029 23:59:00;18;PRIMEIRA18;https://www.foundit.com.br/;https://redir.lomadee.com/v2/981caba416;Found IT;Casa e Decoração;;;;;;;;;;;;;
12%OFF TODO SITE;;;publish;code;10/03/2029 23:59:00;12;GANHOU12;https://www.foundit.com.br/;https://redir.lomadee.com/v2/981caba416;Found IT;Casa e Decoração;;;;;;;;;;;;;
15% de desconto em PRESENTES DE PÁSCOA;;;publish;code;13/04/2020 23:59:00;15;DESCONTO15;https://www.foundit.com.br/;https://redir.lomadee.com/v2/98f72dd9b1;Found IT;Casa e Decoração;;;;;;;;;;;;;
R$50 de desconto em compras acima de R$ 250,00 no FOUND IT!;;;publish;code;02/10/2029 23:59:00;50;50REAIS;https://www.foundit.com.br/;https://redir.lomadee.com/v2/981caba416;Found IT;Mais Ofertas;;;;;;;;;;;;;
R$ 50 de desconto em Ar condicionado na Frio Peças;;;publish;code;30/04/2020 23:59:00;50;50DESC;https://www.friopecas.com.br/;https://redir.lomadee.com/v2/9817d5b711;Frio Peças;Eletrodomésticos;;;;;;;;;;;;;
Até 10% de desconto em todo site no Frio Peças;;;publish;code;30/04/2020 23:59:00;10;ATE10FRIOPECAS;https://www.friopecas.com.br/;https://redir.lomadee.com/v2/9817d5b711;Frio Peças;Eletrodomésticos;;;;;;;;;;;;;
5% de desconto em seleção de ofertas na Gazin;;;publish;code;31/12/2020 23:59:00;5;LOMADEE05;https://www.gazin.com.br/;https://redir.lomadee.com/v2/98b5ca5679;Gazin;Eletrodomésticos;;;;;;;;;;;;;
#Fique em Casa - Livros com 40% OFF no Grupo A (Descontos não cumulativos com outros benefícios ou vantagens oferecidos pelo Grupo A a seus clientes. Promoção válida somente para clientes pessoa física);;;publish;code;30/04/2020 23:59:00;40;FIQUEEMCASA;https://www.gazin.com.br/;https://redir.lomadee.com/v2/98cdcea848;Grupo A;Livros;;;;;;;;;;;;;
Assinatura Anual de Cursos de Musica (Guitarra, Violao, Bateria, Canto, Teclado) com 20%;;;publish;sale;30/04/2020 23:59:00;20;URL CUPONADA;https://www.guitarpedia.com.br/;https://redir.lomadee.com/v2/9843ce1c81;Guitarpedia;Mais Ofertas;;;;;;;;;;;;;
FRETE GRÁTIS (CAPITAIS) A PARTIR DE R$200 EM TODO SITE;;;publish;sale;31/12/2020 23:59:00;0;URL CUPONADA;https://www.homeis.com.br/;https://redir.lomadee.com/v2/98632dcff9;Home is...;Casa e Decoração;;;;;;;;;;;;;
Fique em Casa com Koralle;;;publish;code;30/04/2020 23:59:00;10;FIQUEEMCASA;https://www.koralle.com.br/;https://redir.lomadee.com/v2/98754bcca2;Koralle;Mais Ofertas;;;;;;;;;;;;;
GANHE 1 Ecobag e 1 Creme de Mãos Karité 10ml em compras acima de R$280 na L'Occitane;;;publish;code;30/04/2020 23:59:00;0;ECOBAG280;https://br.loccitane.com/;https://redir.lomadee.com/v2/986247df2c;L'Occitane;Saúde e Beleza;;;;;;;;;;;;;
Ganhe uma Necessaire com Amostras dos Best Sellers em compras ACIMA DE R$150 na L'Occitane;;;publish;code;30/04/2020 23:59:00;0;FESTIVAL150;https://br.loccitane.com/;https://redir.lomadee.com/v2/986247df2c;L'Occitane;Saúde e Beleza;;;;;;;;;;;;;
GANHE 1 Sabonete Líquido tamanho viagem à sua escolha em compras acima de R$100 no cartão na L'Occitane;;;publish;code;30/04/2020 23:59:00;0;CARTAO100;https://br.loccitane.com/;https://redir.lomadee.com/v2/986247df2c;L'Occitane;Saúde e Beleza;;;;;;;;;;;;;
